## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=alignment_metrics/lice88_insert_size_histogram.pdf INPUT=lice88.sorted.bam OUTPUT=alignment_metrics/lice88_insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 29 01:42:26 PDT 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
175	60	2	1517541	194.27524	103.180256	114946	FR	23	47	71	95	121	149	185	239	317	709			
315	171	29	1479789	424.716041	372.792556	6547	TANDEM	73	143	211	275	343	411	483	847	1963	11087			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.tandem_count
206	392	18
207	405	17
208	413	15
209	378	21
210	409	14
211	415	18
212	382	8
213	419	12
214	420	15
215	352	26
216	403	7
217	368	13
218	374	12
219	388	15
220	381	15
221	358	10
222	318	12
223	358	11
224	342	7
225	360	10
226	297	8
227	341	13
228	371	12
229	356	14
230	316	16
231	332	16
232	368	15
233	366	10
234	338	15
235	344	7
236	309	14
237	334	10
238	307	22
239	342	9
240	335	17
241	298	14
242	289	9
243	288	16
244	335	8
245	308	15
246	295	7
247	305	14
248	275	8
249	308	16
250	262	12
251	303	12
252	259	10
253	275	6
254	263	22
255	225	17
256	287	12
257	270	12
258	245	12
259	293	14
260	253	9
261	247	15
262	253	10
263	234	9
264	251	8
265	253	13
266	250	4
267	233	12
268	244	13
269	253	9
270	209	10
271	253	13
272	208	5
273	229	11
274	218	13
275	231	15
276	214	8
277	204	7
278	226	12
279	222	6
280	196	10
281	242	10
282	229	13
283	193	13
284	199	10
285	185	13
286	224	11
287	243	16
288	235	12
289	217	13
290	179	8
291	213	16
292	217	11
293	196	16
294	179	11
295	189	8
296	217	6
297	181	8
298	188	5
299	172	7
300	176	3
301	169	8
302	181	9
303	176	9
304	186	10
305	195	9
306	149	12
307	181	8
308	191	8
309	166	7
310	185	8
311	159	8
312	159	5
313	160	8
314	165	8
315	153	13
316	152	10
317	158	7
318	167	10
319	166	10
320	175	9
321	149	9
322	147	11
323	144	9
324	136	10
325	136	7
326	143	9
327	153	11
328	122	8
329	141	7
330	134	9
331	103	10
332	119	4
333	142	8
334	124	9
335	124	4
336	145	9
337	100	9
338	110	7
339	154	12
340	135	8
341	141	4
342	117	5
343	143	5
344	116	9
345	108	8
346	108	13
347	112	6
348	112	9
349	120	12
350	143	9
351	109	6
352	99	12
353	115	7
354	99	6
355	98	7
356	92	9
357	105	9
358	102	6
359	89	7
360	89	8
361	81	6
362	105	9
363	104	5
364	69	10
365	86	9
366	83	2
367	83	12
368	72	6
369	83	5
370	75	9
371	84	5
372	86	4
373	99	8
374	81	8
375	79	4
376	88	9
377	65	6
378	84	3
379	77	7
380	83	8
381	87	10
382	81	7
383	66	9
384	71	19
385	69	10
386	59	4
387	86	7
388	64	9
389	67	6
390	75	4
391	66	4
392	66	6
393	67	7
394	69	8
395	71	6
396	78	7
397	76	8
398	74	8
399	63	2
400	66	4
401	78	7
402	58	5
403	57	2
404	63	6
405	54	5
406	54	11
407	60	13
408	61	8
409	54	6
410	47	13
411	44	3
412	55	10
413	75	5
414	49	7
415	59	3
416	41	10
417	48	7
418	54	4
419	45	2
420	37	8
421	43	7
422	41	6
423	31	9
424	50	3
425	44	5
426	56	5
427	36	3
428	44	2
429	46	4
430	33	5
431	44	6
432	36	8
433	47	4
434	43	13
435	41	7
436	41	6
437	24	6
438	38	5
439	37	3
440	40	4
441	34	9
442	39	7
443	24	2
444	38	7
445	39	3
446	35	7
447	43	7
448	37	11
449	28	5
450	39	7
451	39	8
452	28	7
453	31	7
454	25	1
455	54	10
456	37	10
457	30	4
458	22	3
459	38	4
460	28	5
461	32	6
462	29	2
463	26	2
464	34	2
465	26	8
466	23	3
467	29	5
468	27	3
469	24	6
470	29	5
471	32	4
472	24	3
473	25	8
474	14	9
475	25	5
476	21	1
477	19	4
478	25	3
479	28	6
480	23	3
481	19	7
482	34	4
483	20	1
484	28	2
485	17	5
486	26	1
487	24	2
488	19	2
489	35	7
490	26	8
491	18	8
492	19	1
493	14	4
494	25	4
495	26	7
496	21	7
497	15	2
498	16	6
499	14	6
500	11	3
501	19	3
502	18	7
503	14	3
504	21	2
505	19	3
506	15	3
507	16	7
508	19	4
509	21	8
510	14	6
511	19	4
512	17	5
513	15	2
514	13	8
515	13	2
516	15	6
517	22	6
518	9	4
519	15	5
520	17	5
521	17	4
522	18	6
523	16	2
524	15	4
525	16	2
526	10	4
527	21	4
528	11	1
529	11	3
530	11	2
531	10	4
532	10	7
533	9	2
534	12	2
535	10	0
536	18	4
537	11	0
538	8	4
539	11	6
540	11	4
541	16	4
542	6	7
543	13	4
544	10	7
545	6	8
546	10	2
547	12	3
548	14	6
549	12	2
550	12	5
551	8	4
552	8	8
553	13	8
554	6	3
555	7	6
556	6	4
557	9	1
558	8	8
559	7	3
560	11	4
561	13	4
562	7	8
563	12	7
564	6	1
565	10	6
566	5	1
567	9	2
568	11	2
569	11	4
570	7	2
571	12	3
572	6	6
573	7	4
574	6	1
575	11	4
576	7	1
577	8	4
578	7	2
579	9	3
580	9	4
581	12	5
582	7	8
583	9	0
584	3	5
585	5	2
586	6	3
587	9	3
588	6	1
589	4	0
590	3	6
591	4	1
592	3	1
593	7	2
594	8	3
595	8	2
596	9	2
597	10	3
598	9	3
599	7	4
600	5	4
601	8	1
602	2	0
603	9	3
604	5	1
605	4	3
606	7	3
607	10	0
608	3	7
609	4	4
610	3	0
611	3	5
612	3	2
613	8	0
614	8	8
615	7	0
616	4	0
617	4	5
618	5	2
619	1	2
620	4	4
621	4	2
622	5	3
623	3	4
624	5	1
625	7	2
626	1	3
627	6	6
628	6	1
629	5	3
630	1	2
631	3	6
632	1	3
633	5	3
634	3	6
635	2	1
636	2	4
637	1	4
638	4	7
639	7	1
640	0	2
641	3	5
642	1	7
643	2	5
644	2	1
645	1	3
646	2	5
647	3	1
648	5	3
649	2	1
650	3	6
651	3	4
652	0	7
653	3	2
654	3	3
655	8	1
656	1	1
657	4	5
658	3	3
659	5	4
660	2	5
661	2	4
662	6	3
663	3	0
664	3	5
665	1	4
666	0	3
667	1	2
668	2	0
669	1	3
670	2	5
671	3	0
672	1	0
673	4	7
674	7	3
675	1	3
676	1	7
677	1	0
678	4	1
679	2	2
680	1	2
681	1	2
683	5	2
684	1	1
685	3	1
686	1	2
687	3	1
688	2	4
689	4	0
690	0	4
691	0	3
692	0	5
693	2	2
694	4	1
695	4	2
696	4	5
697	2	1
699	1	3
700	1	4
701	4	4
702	2	3
703	2	2
704	1	3
705	2	2
706	2	3
707	0	2
708	2	2
709	3	2
710	1	1
711	0	2
712	3	0
713	2	5
714	2	0
715	1	2
716	1	1
717	4	0
718	1	2
719	1	6
720	3	4
721	2	2
722	0	5
723	1	2
724	0	2
725	0	2
726	0	3
727	1	2
728	1	1
729	1	2
730	0	2
731	0	2
732	0	7
733	1	2
734	3	7
736	0	2
737	0	3
738	1	4
739	0	3
741	1	0
742	1	1
744	1	0
745	0	2
746	0	1
747	3	2
748	2	3
749	0	2
750	3	0
752	2	2
753	1	2
754	0	2
755	1	2
756	0	3
757	2	4
758	0	1
759	0	6
760	0	2
761	1	4
762	3	4
763	3	3
764	0	4
765	1	2
766	0	3
767	1	2
768	1	1
769	1	0
770	2	2
771	0	3
772	2	1
773	1	2
774	0	3
775	2	1
776	0	3
777	0	2
778	0	4
779	0	2
780	0	2
781	0	3
783	0	3
785	0	4
786	0	2
787	0	4
788	0	1
790	0	3
791	0	2
792	0	6
794	0	1
795	0	5
796	0	2
797	0	4
798	0	3
799	0	7
800	0	3
801	0	3
802	0	1
803	0	1
804	0	3
805	0	1
809	0	1
810	0	1
811	0	1
813	0	1
815	0	2
817	0	4
818	0	4
820	0	1
821	0	3
823	0	3
826	0	1
827	0	3
828	0	4
829	0	2
831	0	1
832	0	3
833	0	1
834	0	2
835	0	2
836	0	1
837	0	4
838	0	2
839	0	3
840	0	1
842	0	1
843	0	4
844	0	2
845	0	1
846	0	2
847	0	3
848	0	3
849	0	1
850	0	2
851	0	2
852	0	1
854	0	2
855	0	2
856	0	4
857	0	2
858	0	2
859	0	1
860	0	3
863	0	2
864	0	3
865	0	2
868	0	1
869	0	1
870	0	2
872	0	1
873	0	1
875	0	2
878	0	2
879	0	1
880	0	4
881	0	2
882	0	1
884	0	2
885	0	2
886	0	2
887	0	2
888	0	1
889	0	2
890	0	4
891	0	1
892	0	1
894	0	1
895	0	2
896	0	3
900	0	5
902	0	4
903	0	1
905	0	1
906	0	1
908	0	3
909	0	3
910	0	2
911	0	2
912	0	3
914	0	1
915	0	3
916	0	1
917	0	1
918	0	1
919	0	3
922	0	4
923	0	1
924	0	1
926	0	2
928	0	2
931	0	3
932	0	1
933	0	2
935	0	2
936	0	1
937	0	1
938	0	1
939	0	5
940	0	1
943	0	4
944	0	1
945	0	1
946	0	1
947	0	2
948	0	2
949	0	1
950	0	3
951	0	2
955	0	1
958	0	1
959	0	3
960	0	1
961	0	2
962	0	2
966	0	1
969	0	2
970	0	2
972	0	1
973	0	1
976	0	1
977	0	1
978	0	3
981	0	2
982	0	1
983	0	2
984	0	1
985	0	5
986	0	1
987	0	1
990	0	1
991	0	2
992	0	1
993	0	2
994	0	1
996	0	1
997	0	1
1002	0	3
1003	0	1
1004	0	2
1006	0	1
1007	0	1
1010	0	2
1012	0	3
1013	0	1
1014	0	3
1018	0	2
1021	0	1
1022	0	2
1023	0	2
1024	0	1
1026	0	3
1027	0	1
1028	0	1
1029	0	1
1031	0	1
1032	0	2
1033	0	2
1035	0	3
1036	0	3
1037	0	3
1039	0	1
1041	0	2
1043	0	2
1046	0	1
1049	0	3
1050	0	1
1051	0	1
1054	0	1
1058	0	5
1060	0	1
1061	0	1
1063	0	1
1064	0	1
1069	0	1
1070	0	1
1072	0	1
1073	0	2
1075	0	1
1076	0	1
1077	0	1
1078	0	7
1079	0	2
1080	0	3
1082	0	1
1083	0	1
1085	0	3
1086	0	2
1088	0	2
1090	0	2
1091	0	2
1092	0	1
1094	0	1
1095	0	1
1097	0	2
1098	0	2
1100	0	2
1104	0	1
1105	0	1
1106	0	1
1107	0	1
1108	0	1
1109	0	1
1113	0	2
1115	0	6
1117	0	1
1120	0	2
1121	0	1
1122	0	1
1124	0	1
1129	0	2
1130	0	1
1132	0	1
1134	0	2
1135	0	2
1136	0	1
1139	0	1
1140	0	2
1141	0	1
1143	0	2
1145	0	2
1146	0	2
1148	0	1
1149	0	1
1150	0	3
1152	0	2
1153	0	3
1155	0	1
1156	0	1
1158	0	1
1163	0	2
1164	0	1
1165	0	1
1169	0	1
1171	0	1
1174	0	1
1177	0	1
1178	0	1
1179	0	5
1181	0	1
1183	0	2
1187	0	2
1188	0	1
1192	0	2
1193	0	3
1196	0	2
1199	0	1
1200	0	1
1201	0	1
1203	0	3
1208	0	1
1209	0	3
1210	0	1
1212	0	1
1213	0	2
1223	0	2
1227	0	3
1230	0	2
1232	0	1
1233	0	1
1239	0	2
1241	0	1
1244	0	1
1247	0	1
1248	0	1
1249	0	1
1251	0	1
1256	0	1
1258	0	1
1263	0	2
1265	0	1
1266	0	1
1270	0	1
1271	0	1
1272	0	1
1274	0	3
1277	0	5
1279	0	1
1281	0	1
1282	0	1
1283	0	1
1284	0	1
1286	0	1
1287	0	1
1288	0	1
1291	0	2
1296	0	2
1297	0	1
1298	0	1
1302	0	1
1303	0	1
1305	0	1
1309	0	1
1310	0	1
1311	0	2
1314	0	1
1318	0	1
1320	0	2
1324	0	1
1326	0	1
1327	0	2
1328	0	1
1329	0	7
1338	0	1
1346	0	2
1351	0	1
1352	0	1
1355	0	1
1362	0	3
1363	0	1
1365	0	1
1368	0	2
1371	0	1
1372	0	1
1373	0	2
1377	0	1
1380	0	1
1384	0	1
1385	0	1
1386	0	1
1388	0	2
1389	0	1
1392	0	1
1395	0	2
1396	0	1
1399	0	1
1401	0	1
1402	0	1
1406	0	1
1411	0	3
1412	0	1
1418	0	1
1419	0	2
1420	0	1
1421	0	1
1423	0	1
1425	0	1
1429	0	2
1430	0	2
1431	0	2
1433	0	1
1436	0	1
1437	0	1
1438	0	1
1440	0	2
1441	0	1
1444	0	1
1445	0	1
1446	0	1
1447	0	1
1448	0	1
1450	0	2
1451	0	2
1452	0	2
1454	0	1
1455	0	3
1457	0	1
1461	0	2
1464	0	1
1468	0	1
1473	0	1
1474	0	1
1475	0	1
1478	0	1
1483	0	4
1486	0	2
1487	0	1
1497	0	2
1498	0	1
1502	0	1
1511	0	1
1513	0	1
1514	0	1
1515	0	2
1523	0	1
1525	0	2
1526	0	1
1532	0	2
1535	0	2
1547	0	1
1549	0	1
1552	0	1
1553	0	2
1556	0	3
1559	0	2
1567	0	1
1568	0	2
1572	0	1
1581	0	1
1586	0	1
1588	0	1
1591	0	2
1592	0	1
1594	0	1
1596	0	2
1598	0	1
1599	0	1
1601	0	1
1604	0	2
1605	0	1
1606	0	2
1607	0	1
1609	0	2
1611	0	1
1612	0	1
1613	0	1
1617	0	2
1618	0	2
1619	0	1
1620	0	2
1621	0	1
1627	0	1
1628	0	1
1632	0	1
1634	0	1
1636	0	2
1637	0	1
1640	0	2
1642	0	1
1643	0	1
1647	0	1
1650	0	1
1670	0	1
1672	0	1
1676	0	1
1678	0	1
1681	0	1
1684	0	1
1688	0	1
1691	0	1
1702	0	1
1703	0	2
1712	0	1
1713	0	3
1714	0	1
1716	0	1
1721	0	1
1737	0	1
1741	0	1
1749	0	1
1755	0	1
1757	0	1
1758	0	1
1762	0	1
1767	0	1
1774	0	1
1776	0	2
1787	0	1
1788	0	1
1791	0	1
1793	0	1
1798	0	1
1801	0	1
1802	0	1
1809	0	2
1810	0	1
1811	0	1
1812	0	1
1817	0	1
1818	0	1
1820	0	1
1821	0	4
1835	0	1
1837	0	1
1841	0	1
1843	0	1
1847	0	2
1849	0	2
1857	0	1
1860	0	2
1861	0	1
1874	0	2
1875	0	1
1879	0	1
1880	0	1
1881	0	1
1886	0	1
1887	0	2
1888	0	1
1891	0	2
1897	0	1
1902	0	1
1903	0	1
1904	0	1
1905	0	1
1911	0	1
1919	0	1
1929	0	1
1937	0	1
1940	0	1
1942	0	1
1952	0	2
1953	0	1
1956	0	1
1958	0	2
1962	0	1
1966	0	1
1970	0	2
1978	0	2
1979	0	1
1981	0	1
1996	0	3
2013	0	1
2014	0	1
2015	0	1

